Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;Vel Viento;Dir Viento;Temperatura;HR;Presion Baro;Rad Solar;Precipitacion;BC ug/m3
4/01/2024 13:00;36;19;5.1;23.1;28.2;0;0.65;46.5;0;343;0;0;0;0;0;
4/01/2024 14:00;64;27;3.9;18.3;22.2;0;0.61;51.2;0;276;0;0;0;0;0;
4/01/2024 15:00;52;27;4;18.5;22.5;0;0.59;45.7;0;288;0;0;0;0;0;
4/01/2024 16:00;41;18;4.7;16.3;21;0;0.58;42.3;0;310;0;0;0;0;0;
4/01/2024 17:00;45;20;4.5;18.9;23.4;0;0.63;42.3;0;284;0;0;0;0;0;
4/01/2024 18:00;47;21;3.9;22.1;26;0;0.74;32.7;0;273;0;0;0;0;0;
4/01/2024 19:00;43;23;5;27.2;32.1;0;0.85;23.4;0;280;0;0;0;0;0;
4/01/2024 20:00;34;21;6;25.9;31.9;0;0.76;16.4;0;298;0;0;0;0;0;
4/01/2024 21:00;46;29;8.3;31.2;39.6;0;0.84;8;0;321;0;0;0;0;0;
4/01/2024 22:00;46;26;8.6;31.1;39.7;0;0.81;5.2;0;331;0;0;0;0;0;
4/01/2024 23:00;40;22;7.4;30.8;38.2;0;0.77;5.3;0;344;0;0;0;0;0;
5/01/2024 0:00;39;25;5;27.1;32.1;0;0.63;6.1;0;318;0;0;0;0;0;
5/01/2024 1:00;38;25;4;26.6;30.6;0;0.58;3.7;0;331;0;0;0;0;0;
5/01/2024 2:00;42;17;6.7;22.2;28.9;0;0.5;5.2;0;318;0;0;0;0;0;
5/01/2024 3:00;24;15;1.9;12.9;14.8;0;0.37;8.5;0;122;0;0;0;0;0;
5/01/2024 4:00;13;11;3.5;10.4;13.9;0;0.33;6.9;0;125;0;0;0;0;0;
5/01/2024 5:00;19;12;6.7;13.6;20.3;0;0.39;4;0;254;0;0;0;0;0;
5/01/2024 6:00;25;20;13.4;12.6;26;0;0.52;2.3;0;146;0;0;0;0;0;
5/01/2024 7:00;31;26;28.8;14.7;43.6;0;0.86;1.6;0;142;0;0;0;0;0;
5/01/2024 8:00;61;38;57.4;26.3;83.7;0;1.41;2.6;0;348;0;0;0;0;0;
5/01/2024 9:00;72;38;50.2;35.7;85.9;0;1.31;7.2;0;83;0;0;0;0;0;
5/01/2024 10:00;47;27;22.2;29.5;51.7;0;0.84;19.1;0;43;0;0;0;0;0;
5/01/2024 11:00;51;29;15.1;31.5;46.7;0;0.8;27.7;0;349;0;0;0;0;0;
5/01/2024 12:00;50;29;9.9;25.9;35.9;0;0.62;38.9;0;336;0;0;0;0;0;
5/01/2024 13:00;59;30;6.3;20.6;26.9;0;0.59;51.5;0;301;0;0;0;0;0;
5/01/2024 14:00;58;25;4.9;17.2;22.1;0;0.59;56.2;0;283;0;0;0;0;0;
5/01/2024 15:00;47;29;4.8;17.3;22.1;0;0.59;51.5;0;287;0;0;0;0;0;
5/01/2024 16:00;42;23;5.4;16.3;21.7;0;0.6;41;0;287;0;0;0;0;0;
5/01/2024 17:00;39;26;6.3;19;25.2;0;0.66;32.3;0;305;0;0;0;0;0;
5/01/2024 18:00;35;22;6.4;23.4;29.8;0;0.8;22.6;0;301;0;0;0;0;0;
5/01/2024 19:00;33;24;4.4;27.4;31.8;0;0.83;15.5;0;302;0;0;0;0;0;
5/01/2024 20:00;42;25;6.3;32.3;38.7;0;0.86;9.7;0;338;0;0;0;0;0;
5/01/2024 21:00;38;24;3.6;22.3;26;0;0.63;14.8;0;254;0;0;0;0;0;
5/01/2024 22:00;29;21;2.1;13.2;15.3;0;0.47;19.3;0;60;0;0;0;0;0;
5/01/2024 23:00;35;27;2.7;16.4;19;0;0.56;16.7;0;46;0;0;0;0;0;
6/01/2024 0:00;23;16;1.1;6.8;7.9;0;0.38;24.7;0;87;0;0;0;0;0;
6/01/2024 1:00;28;17;1.1;9.6;10.7;0;0.41;19;0;82;0;0;0;0;0;
6/01/2024 2:00;29;20;1.5;9.4;10.8;0;0.44;14.5;0;112;0;0;0;0;0;
6/01/2024 3:00;24;21;2.9;11.2;14.1;0;0.47;8.8;0;132;0;0;0;0;0;
6/01/2024 4:00;25;25;2.9;10.5;13.3;0;0.44;7.9;0;136;0;0;0;0;0;
6/01/2024 5:00;18;17;1.9;8.3;10.3;0;0.35;11.5;0;140;0;0;0;0;0;
